Name;ISIN CODE;INDUSTRY GROUP;YR_2015;YR_2016;YR_2017;YR_2018;YR_2019;YR_2020;YR_2021;YR_2022;YR_2023
ORASCOM DEVELOPMENT ;CH0038285679;3110;14.04.2016;11.04.2017;05.04.2018;05.04.2019;27.04.2020;31.03.2021;30.03.2022;29.03.2023;26.03.2024
GAM HOLDING AG ;CH0102659627;4350;07.03.2016;02.03.2017;01.03.2018;21.02.2019;20.02.2020;18.02.2021;17.02.2022;04.05.2023;27.03.2024
INVESTIS HOLDING SA ;CH0325094297;4392;02.09.2016;22.03.2017;21.03.2018;28.03.2019;01.04.2020;24.03.2021;24.03.2022;23.03.2023;27.03.2024
ACCELLERON ;CH1169360919;4970;NA;NA;NA;NA;NA;NA;29.03.2023;29.03.2023;27.03.2024
SKAN GROUP AG ;CH0013396012;3440;08.02.2016;07.02.2017;09.02.2018;11.02.2019;13.02.2020;05.02.2021;05.04.2022;28.03.2023;28.03.2024
EDISUN POWER ;CH0024736404;8220;15.04.2016;12.04.2017;28.05.2018;09.04.2019;08.04.2020;29.03.2021;25.03.2022;24.03.2023;28.03.2024
VARIA US PROP ;CH0305285295;8592;NA;09.05.2017;09.05.2018;05.04.2019;07.04.2020;29.03.2021;29.03.2022;30.03.2023;28.03.2024
MCH GROUP AG ;CH0039542854;8510;22.03.2016;24.03.2017;20.03.2018;27.03.2019;27.03.2020;25.03.2021;29.03.2022;29.03.2023;29.03.2024
ZWAHLEN ET MAYR SA ;CH0002661731;2830;07.04.2016;06.04.2017;04.05.2018;03.04.2019;02.04.2020;08.04.2021;08.04.2022;30.03.2023;02.04.2024
ADVAL TECH HOLDING A ;CH0008967926;4970;18.03.2016;25.04.2017;04.05.2018;21.03.2019;27.03.2020;27.04.2021;27.04.2022;03.04.2023;02.04.2024
GLARNER KANT ;CH0189396655;4310;29.03.2016;28.03.2017;29.05.2018;20.02.2019;20.02.2020;09.02.2021;10.02.2022;31.03.2023;03.04.2024
LASTMINUTE.COM NV ;NL0010733960;8592;25.03.2016;30.03.2017;14.03.2018;12.02.2019;14.02.2020;10.02.2021;10.02.2022;09.02.2023;04.04.2024
BURKHALTER ;CH0212255803;4090;11.04.2016;10.04.2017;09.04.2018;15.04.2019;06.04.2020;12.04.2021;31.03.2022;03.04.2023;08.04.2024
JUNGFRAUBAHN ;CH0017875789;7970;01.03.2016;28.02.2017;27.02.2018;28.03.2019;26.03.2020;09.04.2021;11.04.2022;05.04.2023;11.04.2024
HELVETIA HOLDING ;CH0466642201;4370;14.03.2016;13.03.2017;05.03.2018;06.03.2019;04.03.2020;25.03.2021;24.03.2022;06.03.2023;11.04.2024
STARRAG GROUP HOLD ;CH0002361068;4980;24.03.2016;10.03.2017;09.03.2018;08.03.2019;06.03.2020;05.03.2021;04.03.2022;13.04.2023;15.04.2024
VILLARS HOLDING SA ;CH0002609656;7091;22.04.2016;19.04.2017;18.04.2018;16.04.2019;09.01.2020;30.06.2021;11.05.2022;18.04.2023;16.04.2024
R&S GROUP HOLDING AG ;CH1107979838;8592;NA;NA;NA;NA;NA;NA;14.12.2022;14.12.2022;17.04.2024
ADDEX THERAPEUTICS ;CH0029850754;3430;02.05.2016;16.05.2017;04.05.2018;30.04.2019;08.04.2020;11.03.2021;10.03.2022;30.03.2023;18.04.2024
SHL TELEMEDICINE ;IL0010855885;8550;12.04.2016;31.07.2017;28.03.2018;12.03.2019;30.04.2020;20.04.2021;14.04.2022;15.05.2023;18.04.2024
XLIFE SCIENCES AG ;CH0461929603;8550;NA;NA;NA;NA;10.06.2020;26.04.2021;29.04.2022;20.04.2023;23.04.2024
ROMANDE ENERGIE ;CH1263676327;8220;05.05.2016;11.05.2017;16.04.2018;11.04.2019;06.04.2020;22.04.2021;11.04.2022;05.04.2023;23.04.2024
HIGHLIGHT EVENT AND ;CH0003583256;6780;16.03.2016;28.04.2017;31.05.2018;25.04.2019;20.04.2020;12.05.2021;10.06.2022;28.04.2023;24.04.2024
SANTHERA PHARMA ;CH1276028821;3430;12.04.2016;06.04.2017;30.01.2018;29.04.2019;24.03.2020;16.02.2021;11.03.2022;27.04.2023;25.04.2024
RELIEF THERAPEUT ;CH1251125998;8550;21.04.2016;01.06.2017;30.04.2018;06.05.2019;30.04.2020;15.04.2021;31.03.2022;14.04.2023;29.04.2024
WISEKEY INTERN ;CH1276062754;8592;30.04.2016;08.05.2017;07.05.2018;25.03.2019;10.03.2020;30.04.2021;31.01.2022;21.04.2023;15.05.2024
IDORSIA LTD ;CH0363463438;3410;NA;09.06.2017;05.02.2018;07.02.2019;06.02.2020;04.02.2021;07.02.2022;07.02.2023;21.05.2024
SPEXIS AG ;CH0106213793;3440;NA;NA;06.09.2018;15.03.2019;28.04.2020;05.03.2021;18.04.2022;29.05.2023;31.05.2024
BANQUE CANTONALE ;CH0350665672;4320;06.04.2016;01.06.2017;05.04.2018;03.04.2019;03.04.2020;06.04.2021;22.04.2022;06.06.2023;05.06.2024
CI COM SA ;CH0001625810;4380;02.05.2016;28.04.2017;25.05.2018;01.05.2019;01.05.2020;07.05.2021;29.04.2022;27.04.2023;20.06.2024
AIRESIS SA ;CH0010947627;6770;27.04.2016;10.04.2017;04.05.2018;12.04.2019;29.04.2020;22.04.2021;27.04.2022;27.04.2023;28.06.2024
