ISIN;Year;Reporting date;Actual;Estimates;Mean;Surprise; Surpise (%) ;Surpise_Category;Standard Deviation
CH0003390066;FY Dec-22;10.03.2023;1.56434736;1;1.574989179;-0.010641819;-0.01;Neutral;0
CH0003390066;FY Dec-23;24.01.2024;1.841034649;2;1.793146464;0.047888185;0.03;Neutral;0.09045546
CH0003420806;FY Dec-19;16.03.2020;5.416685758;1;6.119045797;-0.702360039;-0.11;Negativ;0
CH0003420806;FY Dec-20;17.03.2021;7.130018581;1;6.651136736;0.478881845;0.07;Positive;0
CH0003420806;FY Dec-21;30.03.2022;5.097431195;1;5.57631304;-0.478881845;-0.09;Negativ;0
CH0003420806;FY Dec-22;10.03.2023;4.607907531;1;6.163741436;-1.555833905;-0.25;Negativ;0
CH0003420806;FY Dec-23;08.03.2024;6.53407673;1;5.301754115;1.232322614;0.23;Positive;0
CH0003541510;FY Dec-19;03.03.2020;91.87082151;8;91.43970015;0.431121362; -   ;Positive;1.122115939
CH0003541510;FY Dec-20;04.03.2021;70.87451306;8;64.52533793;6.349175128;0.1;Positive;4.559295703
CH0003541510;FY Dec-21;03.03.2022;97.50034364;7;95.05378951;2.446554137;0.03;Neutral;4.558678477
CH0003541510;FY Dec-22;17.01.2023;76.36569155;7;81.33587852;-4.970186968;-0.06;Negativ;7.717404411
CH0003541510;FY Dec-23;05.03.2024;77.20639523;6;76.88536349;0.321031747; -   ;Positive;1.387331347
CH0003671440;FY Dec-19;15.04.2020;12.39771888;6;13.43955293;-1.041834058;-0.08;Negativ;1.644905929
CH0003671440;FY Dec-20;09.03.2021;-21.33684665;7;-19.95386781;-1.382978843;-0.07;Negativ;2.568030498
CH0003671440;FY Dec-21;09.03.2022;7.481198601;6;7.374429233;0.106769368;0.01;Neutral;1.509829323
CH0003671440;FY Dec-22;25.01.2023;2.87329107;4;7.023600393;-4.150309323;-0.59;Negativ;3.16315293
CH0003671440;FY Dec-23;24.01.2024;17.52707553;5;13.62770029;3.899375237;0.29;Positive;2.683196261
CH0006372897;FY Dec-19;19.02.2020;70.97028943;8;68.93571202;2.034577407;0.03;Neutral;1.437379821
CH0006372897;FY Dec-20;19.03.2021;91.48771603;8;74.97441209;16.51330395;0.22;Positive;7.243375235
CH0006372897;FY Dec-21;22.02.2022;104.3749586;10;100.8159087;3.559049872;0.04;Neutral;4.692488707
CH0006372897;FY Dec-22;30.01.2023;107.3865933;9;98.8606022;8.525991085;0.09;Positive;5.907795053
CH0006372897;FY Dec-23;29.01.2024;85.81562663;9;81.96281999;3.852806638;0.05;Neutral;4.832460549
CH0008038389;FY Dec-19;27.02.2020;7.992005902;8;6.39546704;1.596538862;0.25;Positive;1.872183252
CH0008038389;FY Dec-20;25.02.2021;8.034573177;8;5.189355225;2.845217952;0.55;Positive;1.007067236
CH0008038389;FY Dec-21;17.02.2022;3.501158378;8;5.024407034;-1.523248656;-0.3;Negativ;1.46195178
CH0008038389;FY Dec-22;09.02.2023;3.66078566;8;3.904217264;-0.243431605;-0.06;Negativ;0.44017755
CH0008038389;FY Dec-23;08.02.2024;4.075816592;8;5.062579238;-0.986762646;-0.19;Negativ;1.066618854
CH0008702190;FY Dec-19;12.03.2020;3.086127446;2;3.298963821;-0.212836376;-0.06;Negativ;0.202194557
CH0008702190;FY Dec-20;11.03.2021;1.532421904;1;1.500496448;0.031925456;0.02;Neutral;0
CH0008702190;FY Dec-21;10.03.2022;2.734947426;2;2.761019882;-0.026072456;-0.01;Neutral;0.016494819
CH0008702190;FY Dec-22;02.03.2023;1.096107334;5;1.065033223;0.031074111;0.03;Neutral;0.334461722
CH0008702190;FY Dec-23;06.03.2024;1.447287354;5;2.47635123;-1.029063876;-0.42;Negativ;0.271387662
CH0008742519;FY Dec-19;06.02.2020;34.35179102;20;32.11296518;2.238825835;0.07;Positive;2.155393975
CH0008742519;FY Dec-20;04.02.2021;31.43593267;23;29.58175538;1.854177295;0.06;Positive;1.6225049
CH0008742519;FY Dec-21;03.02.2022;37.64011302;18;35.048894;2.591219022;0.07;Positive;2.856328011
CH0008742519;FY Dec-22;09.02.2023;32.91514548;16;31.77381042;1.141335064;0.04;Neutral;1.403166373
CH0008742519;FY Dec-23;09.02.2024;35.14992742;15;35.28472734;-0.134799918; -   ;Positive;1.138930013
CH0008837566;FY Dec-19;26.02.2020;9.013620505;4;8.645413575;0.36820693;0.04;Neutral;0.866510094
CH0008837566;FY Dec-20;24.02.2021;8.343185922;4;8.222667324;0.120518598;0.01;Neutral;0.137630642
CH0008837566;FY Dec-21;08.03.2022;8.875276861;3;9.197010968;-0.321734107;-0.03;Neutral;0.758559484
CH0008837566;FY Dec-22;01.03.2023;8.332544103;4;8.985419685;-0.652875582;-0.07;Negativ;0.185337916
CH0008837566;FY Dec-23;28.02.2024;7.1406604;3;7.951566991;-0.810906591;-0.1;Negativ;0.074301179
CH0008967926;FY Dec-19;27.03.2020;;;;0;#DIV/0!;#DIV/0!;
CH0008967926;FY Dec-20;27.04.2021;;;;0;#DIV/0!;#DIV/0!;
CH0008967926;FY Dec-21;27.04.2022;-;1;62.43022986;;;;0
CH0008967926;FY Dec-22;03.04.2023;62.54835405;1;62.43022986;0.118124188; -   ;Positive;0
CH0008967926;FY Dec-23;02.04.2024;-;1;62.54835405;;;;0
CH0009320091;FY Dec-19;03.03.2020;1.560739784;4;1.745939356;-0.185199572;-0.11;Negativ;0.262171847
CH0009320091;FY Dec-20;02.03.2021;-0.575381858;3;-0.683268616;0.107886759;0.16;Positive;0.06670292
CH0009320091;FY Dec-21;01.03.2022;2.8194009;3;2.497422031;0.321978869;0.13;Positive;0.347636294
CH0009320091;FY Dec-22;01.03.2023;1.574989179;3;1.509009903;0.065979276;0.04;Neutral;0.315849181
CH0009320091;FY Dec-23;22.02.2024;1.287660072;3;0.489523664;0.798136408;1.63;Positive;0.827380126
CH0010570759;FY Dec-19;03.03.2020;2260.003054;9;2312.244806;-52.24175256;-0.02;Neutral;46.69175674
CH0010570759;FY Dec-20;02.03.2021;1406.742024;10;1490.476111;-83.73408687;-0.06;Negativ;113.2503844
CH0010570759;FY Dec-21;08.03.2022;2149.008884;8;2156.771825;-7.762940753; -   ;Positive;103.5089274
CH0010570759;FY Dec-22;07.03.2023;2540.30856;10;2549.33527;-9.026709942; -   ;Positive;53.70042666
CH0010570759;FY Dec-23;05.03.2024;3042.602407;12;3000.037345;42.56506161;0.01;Neutral;342.6202408
CH0010570767;FY Dec-19;03.03.2020;226.0003054;8;228.3835407;-2.383235315;-0.01;Neutral;4.259260264
CH0010570767;FY Dec-20;02.03.2021;140.6742024;8;145.1558767;-4.481674277;-0.03;Neutral;7.511836397
CH0010570767;FY Dec-21;08.03.2022;214.9008884;8;217.3128566;-2.411968226;-0.01;Neutral;6.526957353
CH0010570767;FY Dec-22;07.03.2023;254.030856;7;251.564838;2.466018024;0.01;Neutral;5.831312301
CH0010570767;FY Dec-23;05.03.2024;-;3;293.2094249;;;;9.39490623
CH0010645932;FY Dec-19;24.01.2020;98.88378009;21;92.40179506;6.481985027;0.07;Positive;7.410175102
CH0010645932;FY Dec-20;29.01.2021;90.81728145;22;98.40775025;-7.590468796;-0.08;Negativ;7.928612588
CH0010645932;FY Dec-21;28.01.2022;96.55322177;23;108.3627248;-11.80950299;-0.11;Negativ;8.841584863
CH0010645932;FY Dec-22;25.01.2023;99.59678194;21;100.4904925;-0.893710583;-0.01;Neutral;7.685031998
CH0010645932;FY Dec-23;25.01.2024;111.5635072;19;106.6683876;4.895119578;0.05;Neutral;7.287017334
CH0010675863;FY Dec-19;17.03.2020;3.181903815;4;3.010038441;0.171865373;0.06;Positive;0.056178161
CH0010675863;FY Dec-20;18.03.2021;6.470225817;4;6.509600547;-0.039374729;-0.01;Neutral;0.295406247
CH0010675863;FY Dec-21;17.03.2022;13.64281167;5;13.62855164;0.014260037; -   ;Positive;0.088071692
CH0010675863;FY Dec-22;16.03.2023;11.12070062;6;11.47578619;-0.355085567;-0.03;Neutral;0.170865042
CH0010675863;FY Dec-23;14.03.2024;15.48384632;6;15.56277669;-0.07893037;-0.01;Neutral;0.50793401
CH0010702154;FY Dec-19;28.01.2020;3.650143841;8;6.981565209;-3.331421368;-0.48;Negativ;0.844013289
CH0010702154;FY Dec-20;26.01.2021;-0.361821838;7;-1.164672573;0.802850734;0.69;Positive;1.025158328
CH0010702154;FY Dec-21;25.01.2022;8.375111378;9;8.411644742;-0.036533364; -   ;Positive;0.662687339
CH0010702154;FY Dec-22;24.01.2023;12.83403345;8;12.64859975;0.185433692;0.01;Neutral;1.141835229
CH0010702154;FY Dec-23;23.01.2024;9.077471418;6;11.7682553;-2.690783878;-0.23;Negativ;1.248423686
CH0011029946;FY Dec-19;05.03.2020;21.0886092;8;21.79498998;-0.706380782;-0.03;Neutral;0.870776519
CH0011029946;FY Dec-20;04.03.2021;19.6476516;9;19.48748137;0.160170226;0.01;Neutral;1.083775367
CH0011029946;FY Dec-21;03.03.2022;32.0028894;8;30.72549996;1.27738944;0.04;Neutral;1.439545851
CH0011029946;FY Dec-22;13.01.2023;35.2645164;8;34.28189042;0.982625985;0.03;Neutral;1.182704895
CH0011029946;FY Dec-23;05.03.2024;42.0993288;8;39.51485451;2.58447429;0.07;Positive;1.447558744
CH0011075394;FY Dec-19;13.02.2020;26.9595378;27;26.69821819;0.261319608;0.01;Neutral;1.226790409
CH0011075394;FY Dec-20;11.02.2021;24.8857272;22;19.91491029;4.97081691;0.25;Positive;1.862846618
CH0011075394;FY Dec-21;10.02.2022;33.7456692;22;28.28000993;5.465659275;0.19;Positive;1.834923197
CH0011075394;FY Dec-22;09.02.2023;29.9582874;20;31.14923886;-1.190951456;-0.04;Neutral;2.696343228
CH0011075394;FY Dec-23;22.02.2024;28.9457226;19;33.46306626;-4.517343659;-0.13;Negativ;2.057726398
CH0011108872;FY Dec-19;07.02.2020;16.44295088;5;8.336907249;8.106043632;0.97;Positive;0.968905674
CH0011108872;FY Dec-20;05.02.2021;15.39160304;3;9.146302701;6.245300335;0.68;Positive;1.472838361
CH0011108872;FY Dec-21;11.02.2022;22.2147967;3;14.08794831;8.126848388;0.58;Positive;2.447043661
CH0011108872;FY Dec-22;10.02.2023;20.24073932;3;11.74996201;8.490777307;0.72;Positive;0.922805315
CH0011108872;FY Dec-23;09.02.2024;6.842689474;3;9.204109061;-2.361419587;-0.26;Negativ;1.145911046
CH0011178255;FY Dec-19;19.03.2020;4.363145699;1;5.853000328;-1.489854629;-0.25;Negativ;0
CH0011178255;FY Dec-20;11.03.2021;0.834318592;1;-3.330889278;4.16520787;1.25;Positive;0
CH0011178255;FY Dec-21;10.03.2022;7.151302219;1;3.142529085;4.008773134;1.28;Positive;0
CH0011178255;FY Dec-22;09.03.2023;3.980040223;2;2.718984698;1.261055525;0.46;Positive;3.325568368
CH0011178255;FY Dec-23;14.03.2024;9.013620505;2;8.683192032;0.330428473;0.04;Neutral;0.713533949
CH0011339204;FY Dec-19;06.03.2020;0.010641819;4;0.204855011;-0.194213193;-0.95;Negativ;0.189381807
CH0011339204;FY Dec-20;11.03.2021;0.191552738;5;0.210708012;-0.019155274;-0.09;Negativ;0.020240739
CH0011339204;FY Dec-21;08.03.2022;0.393747295;5;0.359480638;0.034266656;0.1;Positive;0.041056137
CH0011339204;FY Dec-22;07.03.2023;0.319254563;5;0.352882711;-0.033628147;-0.1;Negativ;0.068746149
CH0011339204;FY Dec-23;05.03.2024;0.510807301;3;0.473209756;0.037597546;0.08;Positive;0.007789811
CH0011432447;FY Dec-19;18.02.2020;-2.213498306;9;-2.797617097;0.584118791;0.21;Positive;0.696592174
CH0011432447;FY Dec-20;16.02.2021;-1.521780085;7;-1.014016344;-0.507763741;-0.5;Negativ;1.805459048
CH0011432447;FY Dec-21;15.02.2022;-0.617225489;4;-1.729295551;1.112070062;0.64;Positive;0.511552229
CH0011432447;FY Dec-22;14.02.2023;1.085465515;6;-1.736744825;2.82221034;1.63;Positive;0.391022989
CH0011432447;FY Dec-23;13.02.2024;0.915196415;7;1.739330787;-0.824134372;-0.47;Negativ;2.104111051
CH0011484067;FY Dec-19;12.02.2020;30.11634714;2;28.59456706;1.521780085;0.05;Neutral;0.244761832
CH0011484067;FY Dec-20;18.02.2021;29.72259985;2;28.49879069;1.223809159;0.04;Neutral;0.830061865
CH0011484067;FY Dec-21;16.02.2022;32.23406908;2;32.29791999;-0.063850913; -   ;Positive;0.053209094
CH0011484067;FY Dec-22;15.02.2023;32.68102547;1;30.94321646;1.737809006;0.06;Positive;0
CH0011484067;FY Dec-23;14.02.2024;36.84197661;1;38.83731763;-1.995341021;-0.05;Neutral;0
CH0012005267;FY Dec-19;29.01.2020;5.257548;26;5.137296194;0.120251806;0.02;Neutral;0.07496874
CH0012005267;FY Dec-20;26.01.2021;5.6275236;27;5.641193225;-0.013669625; -   ;Positive;0.058592452
CH0012005267;FY Dec-21;02.02.2022;6.1240698;27;6.150425693;-0.026355893; -   ;Positive;0.120222598
CH0012005267;FY Dec-22;01.02.2023;5.9585544;22;5.866109181;0.092445219;0.02;Neutral;0.077208066
CH0012005267;FY Dec-23;31.01.2024;6.717978;24;6.302203315;0.415774685;0.07;Positive;0.634440001
CH0012032048;FY Dec-19;30.01.2020;21.45390666;24;21.11084634;0.343060312;0.02;Neutral;0.465515721
CH0012032048;FY Dec-20;04.02.2021;20.38972478;27;20.62199312;-0.232268337;-0.01;Neutral;0.5171179
CH0012032048;FY Dec-21;03.02.2022;21.081443;25;21.63371083;-0.552267827;-0.03;Neutral;0.50547575
CH0012032048;FY Dec-22;02.02.2023;21.60289212;20;21.83381959;-0.230927467;-0.01;Neutral;0.385201914
CH0012032048;FY Dec-23;01.02.2024;19.76185747;19;19.76012285;0.001734616; -   ;Positive;0.64157397
CH0012032113;FY Dec-19;30.01.2020;21.45390666;2;19.02384734;2.430059318;0.13;Positive;2.316191857
CH0012032113;FY Dec-20;04.02.2021;20.38972478;2;18.1512182;2.23850658;0.12;Positive;2.720580971
CH0012032113;FY Dec-21;03.02.2022;21.081443;2;19.90658621;1.174856793;0.06;Positive;2.347585222
CH0012032113;FY Dec-22;02.02.2023;21.60289212;1;21.95407214;-0.35118002;-0.02;Neutral;0
CH0012032113;FY Dec-23;01.02.2024;19.76185747;1;18.56039613;1.20146134;0.06;Positive;0
CH0012100191;FY Dec-19;17.03.2020;6.523434911;6;6.461712362;0.061722549;0.01;Neutral;0.57252985
CH0012100191;FY Dec-20;16.03.2021;9.173247787;7;8.192529694;0.980718093;0.12;Positive;0.669764148
CH0012100191;FY Dec-21;15.03.2022;10.51411695;7;12.31045596;-1.79633901;-0.15;Negativ;1.777247587
CH0012100191;FY Dec-22;14.03.2023;10.07780238;5;12.07037653;-1.992574148;-0.17;Negativ;1.428759947
CH0012100191;FY Dec-23;12.03.2024;10.96107334;6;10.45806649;0.503006848;0.05;Neutral;0.987943888
CH0012138605;FY Dec-19;26.02.2020;4.97;19;4.24784;0.72216;0.17;Positive;0.15371
CH0012138605;FY Dec-20;25.02.2021;2.49;17;2.43406;0.05594;0.02;Neutral;0.34105
CH0012138605;FY Dec-21;24.02.2022;4.06;19;3.75691;0.30309;0.08;Positive;0.25485
CH0012138605;FY Dec-22;28.02.2023;3.28;12;3.35575;-0.07575;-0.02;Neutral;0.17844
CH0012138605;FY Dec-23;29.02.2024;2.99;13;2.92715;0.06285;0.02;Neutral;0.46217
CH0012142631;FY Dec-19;13.02.2020;0.776852771;13;1.002129433;-0.225276662;-0.22;Negativ;0.159488938
CH0012142631;FY Dec-20;11.02.2021;0.691718221;16;0.507678607;0.184039614;0.36;Positive;0.411689401
CH0012142631;FY Dec-21;14.02.2022;1.032256421;17;0.973098551;0.059157871;0.06;Positive;0.179431706
CH0012142631;FY Dec-22;02.03.2023;1.330227347;16;1.19075567;0.139471677;0.12;Positive;0.437591588
CH0012142631;FY Dec-23;29.02.2024;0.936480052;16;0.740936632;0.19554342;0.26;Positive;0.246932763
CH0012214059;FY Dec-19;27.02.2020;3.618218385;17;3.768832046;-0.150613661;-0.04;Neutral;0.192372158
CH0012214059;FY Dec-20;26.02.2021;3.267038365;18;3.193726875;0.07331149;0.02;Neutral;0.201619899
CH0012214059;FY Dec-21;25.02.2022;4.235443874;20;4.222673691;0.012770183; -   ;Positive;0.21549683
CH0012214059;FY Dec-22;24.02.2023;3.894905673;19;4.874740495;-0.979834822;-0.2;Negativ;0.337015759
CH0012214059;FY Dec-23;28.02.2024;5.767865778;20;5.488518035;0.279347743;0.05;Neutral;0.268109982
CH0012221716;FY Dec-19;05.02.2020;1.2072888;17;0.968119047;0.239169753;0.25;Positive;0.106796378
CH0012221716;FY Dec-20;04.02.2021;0.9541476;17;0.74315441;0.21099319;0.28;Positive;0.115812099
CH0012221716;FY Dec-21;03.02.2022;1.4214852;24;1.475404276;-0.053919076;-0.04;Neutral;0.285981403
CH0012221716;FY Dec-22;02.02.2023;1.265706;19;1.191253279;0.074452721;0.06;Positive;0.184072597
CH0012221716;FY Dec-23;01.02.2024;1.9569762;20;1.939110273;0.017865927;0.01;Neutral;0.082884271
CH0012255151;FY Dec-19;06.02.2020;15.07945721;23;15.93732615;-0.857868937;-0.05;Neutral;1.040131367
CH0012255151;FY Dec-20;08.02.2021;-1.053540059;22;0.154157387;-1.207697446;-7.83;Negativ;0.820877975
CH0012255151;FY Dec-21;17.02.2022;15.71796634;24;13.47804439;2.239921942;0.17;Positive;0.907534305
CH0012255151;FY Dec-22;06.02.2023;16.55867002;21;17.30431033;-0.745640316;-0.04;Neutral;0.781109498
CH0012255151;FY Dec-23;22.01.2024;17.82504645;21;18.87174382;-1.04669737;-0.06;Negativ;1.109579877
CH0012268360;FY Dec-19;27.02.2020;0.194724;2;0.347893898;-0.153169898;-0.44;Negativ;0.079174778
CH0012268360;FY Dec-20;25.02.2021;-0.4089204;2;-0.07642917;-0.33249123;-4.35;Negativ;0.07642917
CH0012268360;FY Dec-21;23.02.2022;0.2531412;3;0.19375038;0.05939082;0.31;Positive;0.104595997
CH0012268360;FY Dec-22;23.02.2023;-0.3602394;3;0.042517985;-0.402757385;-9.47;Negativ;0.116133394
CH0012268360;FY Dec-23;22.02.2024;-0.48681;3;-0.1995921;-0.2872179;-1.44;Negativ;0.199280542
CH0012335540;FY Dec-19;12.02.2020;4.671758444;3;4.775335266;-0.103576822;-0.02;Neutral;0.07495033
CH0012335540;FY Dec-20;11.02.2021;4.522772981;4;4.840431271;-0.317658291;-0.07;Negativ;0.13743909
CH0012335540;FY Dec-21;09.02.2022;6.917182206;2;6.586753733;0.330428473;0.05;Neutral;0.416627205
CH0012335540;FY Dec-22;08.02.2023;4.26736933;3;4.45466534;-0.18729601;-0.04;Neutral;0.163607322
CH0012335540;FY Dec-23;08.02.2024;3.990682042;3;4.078657958;-0.087975916;-0.02;Neutral;0.49810097
CH0012410517;FY Dec-19;12.03.2020;15.95208635;11;14.32660174;1.625484609;0.11;Positive;1.622472975
CH0012410517;FY Dec-20;09.03.2021;10.24807148;11;10.76362504;-0.515553553;-0.05;Neutral;0.716577509
CH0012410517;FY Dec-21;10.03.2022;13.88757351;10;13.13732528;0.750248224;0.06;Positive;1.325651365
CH0012410517;FY Dec-22;09.03.2023;12.89788436;6;13.46349703;-0.565612668;-0.04;Neutral;0.721579164
CH0012410517;FY Dec-23;26.03.2024;5.629522134;6;6.686254738;-1.056732605;-0.16;Negativ;1.164927976
CH0012453913;FY Dec-19;12.02.2020;3.3784614;18;3.368919924;0.009541476; -   ;Positive;0.102366407
CH0012453913;FY Dec-20;17.02.2021;3.3395166;19;3.304622059;0.034894541;0.01;Neutral;0.115140301
CH0012453913;FY Dec-21;14.02.2022;3.699756;15;3.802638425;-0.102882425;-0.03;Neutral;0.059322667
CH0012453913;FY Dec-22;20.02.2023;2.7553446;18;2.792994485;-0.037649885;-0.01;Neutral;0.255536305
CH0012453913;FY Dec-23;19.02.2024;3.1058478;15;3.076123181;0.029724619;0.01;Neutral;0.06531043
CH0012829898;FY Dec-19;02.03.2020;33.06413094;6;35.05574733;-1.991616384;-0.06;Negativ;1.760986888
CH0012829898;FY Dec-20;02.03.2021;37.46984392;7;37.85340699;-0.383563074;-0.01;Neutral;1.585375594
CH0012829898;FY Dec-21;04.03.2022;43.11000787;7;42.67110734;0.438900532;0.01;Neutral;0.681087044
CH0012829898;FY Dec-22;06.02.2023;36.30988567;7;38.62888697;-2.319001297;-0.06;Negativ;1.28413763
CH0012829898;FY Dec-23;25.01.2024;37.05481299;6;39.26813038;-2.213317395;-0.06;Negativ;3.709120801
CH0012949464;FY Dec-19;21.04.2020;-1.798467373;5;-1.7548572;-0.043610173;-0.02;Neutral;0.370090532
CH0012949464;FY Dec-20;18.05.2021;-2.671096513;5;-1.560048066;-1.111048448;-0.71;Negativ;0.6559085
CH0012949464;FY Dec-21;17.03.2022;-2.192214668;6;-2.143868886;-0.048345783;-0.02;Neutral;0.45310736
CH0012949464;FY Dec-22;17.03.2023;3.767203847;4;3.56237012;0.204833728;0.06;Positive;0.383116118
CH0012949464;FY Dec-23;18.03.2024;-2.011303749;2;-2.123042846;0.111739097;0.05;Neutral;0.377784567
CH0013396012;FY Dec-19;13.02.2020;;;;0;#DIV/0!;#DIV/0!;
CH0013396012;FY Dec-20;05.02.2021;;;;0;#DIV/0!;#DIV/0!;
CH0013396012;FY Dec-21;05.04.2022;0.893912777;2;0.949250235;-0.055337458;-0.06;Negativ;0.012770183
CH0013396012;FY Dec-22;28.03.2023;0.893912777;1;0.950314417;-0.05640164;-0.06;Negativ;0
CH0013396012;FY Dec-23;28.03.2024;1.245092797;1;1.553705542;-0.308612745;-0.2;Negativ;0
CH0013841017;FY Dec-19;21.01.2020;14.46223172;16;13.76426675;0.697964968;0.05;Neutral;0.330971206
CH0013841017;FY Dec-20;27.01.2021;12.97237709;18;14.26228259;-1.289905496;-0.09;Negativ;0.984400162
CH0013841017;FY Dec-21;26.01.2022;13.44061712;18;14.29976307;-0.859145955;-0.06;Negativ;0.917495048
CH0013841017;FY Dec-22;25.01.2023;15.65411542;13;15.74711428;-0.092998854;-0.01;Neutral;0.571039996
CH0013841017;FY Dec-23;26.01.2024;13.18521347;18;14.38602566;-1.200812189;-0.08;Negativ;0.891135263
CH0014284498;FY Dec-19;04.03.2020;16.47353547;6;17.32186934;-0.848333868;-0.05;Neutral;0.987007408
CH0014284498;FY Dec-20;24.02.2021;17.98467373;7;17.24811089;0.736562845;0.04;Neutral;0.537050026
CH0014284498;FY Dec-21;23.02.2022;23.44392677;9;22.86512889;0.578797882;0.03;Neutral;0.905778405
CH0014284498;FY Dec-22;22.02.2023;38.60851853;9;34.21085077;4.397667759;0.13;Positive;2.754485805
CH0014284498;FY Dec-23;20.02.2024;27.90284884;11;33.62001699;-5.717168153;-0.17;Negativ;3.003546932
CH0014345117;FY Dec-19;13.03.2020;;;;0;#DIV/0!;#DIV/0!;
CH0014345117;FY Dec-20;28.04.2021;;;;0;#DIV/0!;#DIV/0!;
CH0014345117;FY Dec-21;29.04.2022;;;;0;#DIV/0!;#DIV/0!;
CH0014345117;FY Dec-22;27.04.2023;1008.205911;1;18085.82374;-17077.61783;-0.94;Negativ;0
CH0014345117;FY Dec-23;08.02.2024;1045.452277;1;19038.20063;-17992.74835;-0.95;Negativ;0
CH0014786500;FY Dec-19;13.02.2020;8.162275003;3;7.886300716;0.275974286;0.03;Neutral;0.331737417
CH0014786500;FY Dec-20;11.02.2021;8.212291551;4;7.96220881;0.250082741;0.03;Neutral;0.129212964
CH0014786500;FY Dec-21;17.02.2022;8.296361919;4;8.125826773;0.170535146;0.02;Neutral;0.128542529
CH0014786500;FY Dec-22;01.02.2023;8.726291398;5;8.467908038;0.25838336;0.03;Neutral;0.120859136
CH0014786500;FY Dec-23;31.01.2024;9.715980544;5;9.991816487;-0.275835943;-0.03;Neutral;1.351319432
CH0014852781;FY Dec-19;28.02.2020;38.8213549;11;38.80026282;0.021092085; -   ;Positive;1.276560655
CH0014852781;FY Dec-20;02.03.2021;34.88388195;14;36.06436827;-1.180486315;-0.03;Neutral;1.863531453
CH0014852781;FY Dec-21;01.03.2022;42.49278238;13;42.55933632;-0.066553935; -   ;Positive;1.734690954
CH0014852781;FY Dec-22;01.03.2023;50.82532648;9;45.87428415;4.951042336;0.11;Positive;1.57540421
CH0014852781;FY Dec-23;14.03.2024;39.3853713;9;41.76606322;-2.380691921;-0.06;Negativ;4.857894496
CH0016440353;FY Dec-19;07.02.2020;23.98665953;7;23.67713158;0.309527941;0.01;Neutral;0.283987576
CH0016440353;FY Dec-20;12.02.2021;19.76185747;7;19.42937513;0.332482344;0.02;Neutral;0.389235164
CH0016440353;FY Dec-21;11.02.2022;25.04019958;8;24.48177014;0.55842944;0.02;Neutral;0.565484966
CH0016440353;FY Dec-22;10.02.2023;24.21013772;7;24.05416058;0.155977138;0.01;Neutral;0.584736016
CH0016440353;FY Dec-23;09.02.2024;20.81539753;7;19.4205637;1.394833829;0.07;Positive;0.605029965
CH0017875789;FY Dec-19;26.03.2020;9.694696907;2;9.391405072;0.303291835;0.03;Neutral;0.133022735
CH0017875789;FY Dec-20;09.04.2021;-1.681407367;2;-2.660454695;0.979047328;0.37;Positive;1.489854629
CH0017875789;FY Dec-21;11.04.2022;-0.08513455;1;-0.60658367;0.52144912;0.86;Positive;0
CH0017875789;FY Dec-22;05.04.2023;7.970722265;1;3.671427478;4.299294786;1.17;Positive;0
CH0017875789;FY Dec-23;11.04.2024;14.48351536;1;11.41867155;3.064843808;0.27;Positive;0
CH0018294154;FY Dec-19;25.02.2020;4.991013007;9;5.007092795;-0.016079788; -   ;Positive;0.696858219
CH0018294154;FY Dec-20;23.02.2021;6.778838562;10;4.807122378;1.971716183;0.41;Positive;0.362034675
CH0018294154;FY Dec-21;22.02.2022;5.129356651;12;7.236255858;-2.106899207;-0.29;Negativ;3.296122456
CH0018294154;FY Dec-22;21.02.2023;5.469894852;10;5.23332722;0.236567631;0.05;Neutral;0.384914585
CH0018294154;FY Dec-23;27.02.2024;7.874945896;10;5.593020695;2.281925201;0.41;Positive;0.548628325
CH0019107025;FY Dec-19;27.02.2020;14.8453372;2;14.9038672;-0.058530003; -   ;Positive;0.196873647
CH0019107025;FY Dec-20;15.03.2021;4.7036839;2;1.452608263;3.251075637;2.24;Positive;1.112070062
CH0019107025;FY Dec-21;26.04.2022;4.501489343;2;4.492443797;0.009045546; -   ;Positive;0.001596273
CH0019107025;FY Dec-22;15.03.2023;8.311260466;1;7.800453164;0.510807301;0.07;Positive;0
CH0019107025;FY Dec-23;27.02.2024;9.524427806;2;9.539326353;-0.014898546; -   ;Positive;0.004256728
CH0022268228;FY Dec-19;26.02.2020;0.372463657;5;0.470581226;-0.098117569;-0.21;Negativ;0.045951373
CH0022268228;FY Dec-20;05.03.2021;0.393747295;6;0.371750655;0.021996639;0.06;Positive;0.031680695
CH0022268228;FY Dec-21;23.02.2022;0.564016395;6;0.689770768;-0.125754372;-0.18;Negativ;0.091072685
CH0022268228;FY Dec-22;22.02.2023;0.830061865;3;0.704137223;0.125924642;0.18;Positive;0.020144963
CH0022268228;FY Dec-23;21.02.2024;1.117390972;3;0.885399322;0.231991649;0.26;Positive;0.065947351
CH0023405456;FY Dec-19;12.03.2020;7.052854753;12;7.31238743;-0.259532676;-0.04;Neutral;1.163576465
CH0023405456;FY Dec-20;09.03.2021;-30.19083987;11;-17.1018923;-13.08894757;-0.77;Negativ;9.247804369
CH0023405456;FY Dec-21;08.03.2022;0.287329107;7;-5.862428979;6.149758086;1.05;Positive;5.059865574
CH0023405456;FY Dec-22;07.03.2023;3.362814734;9;1.301143257;2.061671477;1.58;Positive;0.829146668
