ISIN;Year;Reporting date;Actual;Estimates;Mean;Surprise; Surpise (%) ;Surpise_Category;Standard Deviation
CH0542483745;FY Dec-21;15.03.2022;9.173247787;2;9.335003432;-0.161755645;-0.02;Neutral;0.214964739
CH0542483745;FY Dec-22;15.03.2023;1.30894371;4;2.649280785;-1.340337075;-0.51;Negativ;0.574828483
CH0542483745;FY Dec-23;13.03.2024;1.936811018;3;2.495155323;-0.558344306;-0.22;Negativ;0.284498383
CH1101098163;FY Dec-19;09.03.2020;10.4821915;7;8.535377169;1.946814327;0.23;Positive;0.180581023
CH1101098163;FY Dec-20;08.03.2021;7.50354642;9;7.238213953;0.265332468;0.04;Neutral;0.147357265
CH1101098163;FY Dec-21;20.01.2022;10.01395147;10;10.30053565;-0.28658418;-0.03;Neutral;0.290808982
CH1101098163;FY Dec-22;19.01.2023;10.63117696;9;10.65837745;-0.027200489; -   ;Positive;0.225542707
CH1101098163;FY Dec-23;22.01.2024;11.85498612;10;10.73238066;1.122605463;0.1;Positive;0.519022785
CH1169151003;FY Dec-19;26.02.2020;2.234781943;7;2.274816466;-0.040034522;-0.02;Neutral;0.164139413
CH1169151003;FY Dec-20;03.03.2021;1.489854629;9;1.312381017;0.177473612;0.14;Positive;0.145931261
CH1169151003;FY Dec-21;02.03.2022;2.766872882;8;2.600786017;0.166086866;0.06;Positive;0.102033758
CH1169151003;FY Dec-22;02.03.2023;3.586292928;6;3.402008552;0.184284376;0.05;Neutral;0.074375671
CH1169151003;FY Dec-23;19.03.2024;3.054201989;8;3.297367548;-0.243165559;-0.07;Negativ;0.300173782
CH1173567111;FY Dec-19;19.02.2020;8.094167363;4;8.378016595;-0.283849232;-0.03;Neutral;0.754824206
CH1173567111;FY Dec-20;02.03.2021;10.67480842;5;9.733901367;0.940907049;0.1;Positive;0.64209542
CH1173567111;FY Dec-21;04.03.2022;2.584897781;6;3.858648996;-1.273751215;-0.33;Negativ;0.631102421
CH1173567111;FY Dec-22;02.03.2023;2.107080118;6;2.900246797;-0.793166679;-0.27;Negativ;0.698922732
CH1173567111;FY Dec-23;31.01.2024;1.692049186;5;2.67833295;-0.986283764;-0.37;Negativ;0.630357493
CH1175448666;FY Dec-19;18.02.2020;2.256065581;18;2.274880317;-0.018814736;-0.01;Neutral;0.097181089
CH1175448666;FY Dec-20;16.02.2021;1.719717915;13;1.619099518;0.100618397;0.06;Positive;0.123274829
CH1175448666;FY Dec-21;15.02.2022;3.018019805;14;2.89336154;0.124658265;0.04;Neutral;0.155498256
