"";"ISIN";"Reportdate";"Name";"Group";"Year";"Actual";"Estimate";"Mean";"Surprise";"SurpriseSD";"SurprisePercent";"SurpriseCategory";"CAPM_a";"CAPM_a_sd";"CAPM_a_p";"CAPM_beta";"CAPM_beta_sd";"CAPM_beta_p";"CAPM_BPtest_p";"CAPM_robust_a";"CAPM_robust_a_sd";"CAPM_robust_beta";"CAPM_robust_beta_sd";"CAR_shortterm";"CAR_middleterm";"BHAR_shortterm";"BHAR_middleterm"
"BP594";"CH0406705126";2020-03-10;"SENSIRION HOLDING AG ";4050;2019;0,372463657;3;0,030510094;0,341953563;0,228479849;11,21;"Positive";-0,00053101275044773;0,00151265183784514;0,725890133402359;0,950599138557226;0,240900405465213;0,000107035754889158;0,903748146510307;-0,0010177910163328;0,00128263332513704;0,88899179259323;0,204268345403842;0,091916196352284;0,0194925823225913;0,0751592870489602;0,00599675510665887
"BP595";"CH0406705126";2021-03-16;"SENSIRION HOLDING AG ";4050;2020;3,203187452;2;2,751974336;0,451213116;0,197937829;0,16;"Positive";0,00188605637577489;0,00178511603747244;0,291883140203291;0,931932021948036;0,189466504124041;1,70968583223916e-06;0,470230069268159;0,000449600477134503;0,00131193675363422;0,849992217345917;0,139244769037462;0,169354097057987;0,0344869402621142;0,18177787608929;0,0268457204299497
"BP596";"CH0406705126";2022-03-14;"SENSIRION HOLDING AG ";4050;2021;4,512131162;3;3,810484124;0,701647037;0,445168563;0,18;"Positive";0,00226137294872836;0,00138852251300517;0,104831533362833;1,84054181261368;0,198599902490673;1,84794713806974e-17;0,967019041137024;0,00163551233884632;0,00133321379682038;1,67784818606926;0,190689115637523;0,043835290893194;0,0719961882318613;0,0471607239273253;0,075850302887134
"BP597";"CH0406705126";2023-03-14;"SENSIRION HOLDING AG ";4050;2022;4,341862061;4;4,246883829;0,094978233;0,252913465;0,02;"Neutral";0,000398270781041848;0,00147141072766641;0,786897666931594;1,19117288749612;0,157894172201351;1,20416112928018e-12;0,475759397619951;0,00112270583635509;0,00118418790759919;1,23569636980893;0,12707286000134;-0,108442668011534;-0,271591895930841;-0,104751444215596;-0,271599572046996
"BP598";"CH0406705126";2024-03-12;"SENSIRION HOLDING AG ";4050;2023;-0,446956389;5;-0,109397897;-0,337558492;0,219891901;-3,09;"Negativ";-0,00115558951384194;0,00150370471968483;0,443021091267521;1,24160659885352;0,250173106174236;1,39382422497951e-06;0,297522657587166;-0,000195360458612806;0,00110605639967742;1,19397577476877;0,184015891876158;-0,0738982424760545;-0,0088537169099388;-0,0736022523487444;-0,0124870231860196
"BP599";"CH0418792922";2020-02-21;"SIKA AG ";2893;2019;5,118714832;12;5,478323172;-0,35960834;0,238738562;-0,07;"Negativ";0,000533509346151238;0,000598516704241867;0,373700473242621;1,16419147987786;0,0963036202831847;4,13749914595908e-26;0,457932461841147;0,00076604549943449;0,000537185201215937;1,16732424889092;0,0864351475455896;0,0721137024502587;-0,0334041287940641;0,0668148532153521;-0,0358419435776629
"BP600";"CH0418792922";2021-02-19;"SIKA AG ";2893;2020;5,555029402;18;5,692425924;-0,137396522;0,398568039;-0,02;"Neutral";0,00136881157704322;0,000943842494585497;0,148418308200271;1,14779830893836;0,066927785673839;2,29441451027733e-42;0,848297432910843;0,00112333484677229;0,000764017648040946;1,08630042368722;0,0541764221175178;-0,00147423637361239;0,0153335799913251;-0,00200272595791939;0,0147060183785954
"BP601";"CH0418792922";2022-02-18;"SIKA AG ";2893;2021;7,023600393;19;7,401948977;-0,378348583;0,490811324;-0,05;"Neutral";0,000704159018450166;0,000720494470341971;0,329485419958181;1,28002222804238;0,114539230536007;3,07981234822367e-23;0,790280042348338;0,000331050347135923;0,000439953236796189;1,2459919879197;0,0699407244451763;0,0250565746751553;0,0235348945673647;0,0241128763901418;0,0227439981307391
"BP602";"CH0418792922";2023-02-17;"SIKA AG ";2893;2022;7,757885889;23;8,002190123;-0,244304234;0,471507065;-0,03;"Neutral";-0,000609087047766884;0,000967971197337055;0,52984720199325;1,7847730357085;0,0954234001340688;2,77758321389866e-47;0,00484462436179393;-0,000632161563121724;0,000843544923007998;1,79699581354927;0,0831573552402157;0,0566141288170607;-0,0445047914620739;0,0568134987432026;-0,0416761478372794
"BP603";"CH0418792922";2024-02-16;"SIKA AG ";2893;2023;7,076809487;23;7,317452935;-0,240643448;0,435803763;-0,03;"Neutral";6,65044596528454e-05;0,000904991376953114;0,941486227439103;1,46146149107694;0,141871678651356;1,51610086158384e-20;0,944661227417831;0,00037978222282482;0,000716957701287122;1,45441687337832;0,112394432912803;0,0293965696826429;-0,000786943944825754;0,0299949214997441;-0,00190879857943638
